Timeseries,Q_obs,NuiLe,GiaUi_Local,Junction1,Junction2,Reach1,Sink1
2019-01-01,0.0,5.283179905557257e-05,5.156498399422194e-05,5.283179905557257e-05,0.00010439678304979452,5.283179905557257e-05,0.00010439678304979452
2019-01-02,0.0,5.684866726403458e-05,2.9850061186060918e-05,5.684866726403458e-05,8.64079498841387e-05,5.6557888698077775e-05,8.64079498841387e-05
2019-01-03,0.0,5.628018059139424e-05,2.9551560574200312e-05,5.628018059139424e-05,8.612912840079695e-05,5.657756782659664e-05,8.612912840079695e-05
2019-01-04,0.0,5.57173787854803e-05,2.9256044968458305e-05,5.57173787854803e-05,8.475210620411587e-05,5.549606123565757e-05,8.475210620411587e-05
2019-01-05,0.0727777777777851,5.51602049976255e-05,2.8963484518773722e-05,5.51602049976255e-05,8.43590485876707e-05,5.539556406889698e-05,8.43590485876707e-05
2019-01-06,0.0,5.460860294764924e-05,2.8673849673585984e-05,5.460860294764924e-05,8.311498371038616e-05,5.4441134036800176e-05,8.311498371038616e-05
2019-01-07,0.0,5.4062516918172754e-05,2.8387111176850123e-05,5.4062516918172754e-05,8.263673296720867e-05,5.424962179035854e-05,8.263673296720867e-05
2019-01-08,0.0,5.352189174899103e-05,2.8103240065081626e-05,5.352189174899103e-05,8.149939002170195e-05,5.339614995662032e-05,8.149939002170195e-05
2019-01-09,0.1670370370370263,5.2986672831501116e-05,2.782220766443081e-05,5.2986672831501116e-05,8.095842865743673e-05,5.313622099300591e-05,8.095842865743673e-05
2019-01-10,0.0,5.24568061031861e-05,2.75439855877865e-05,5.24568061031861e-05,7.99073661747066e-05,5.23633805869201e-05,7.99073661747066e-05
2019-01-11,0.0,5.1932238042154236e-05,2.726854573190864e-05,5.1932238042154236e-05,7.932108373870249e-05,5.2052538006793855e-05,7.932108373870249e-05
2019-01-12,0.0,5.1412915661732704e-05,2.699586027458955e-05,5.1412915661732704e-05,7.834036070984628e-05,5.134450043525673e-05,7.834036070984628e-05
2019-01-13,0.0,5.089878650511538e-05,2.6725901671843654e-05,5.089878650511538e-05,7.772219334229115e-05,5.0996291670447496e-05,7.772219334229115e-05
2019-01-14,0.0,5.0389798640064225e-05,2.6458642655125218e-05,5.0389798640064225e-05,7.679936479713546e-05,5.034072214201024e-05,7.679936479713546e-05
2019-01-15,0.0,4.988590065366358e-05,2.6194056228573965e-05,4.988590065366358e-05,7.615968008090266e-05,4.996562385232869e-05,7.615968008090266e-05
2019-01-16,0.0,4.938704164712694e-05,2.593211566628823e-05,4.938704164712694e-05,7.528501710975993e-05,4.9352901443471705e-05,7.528501710975993e-05
2019-01-17,0.0,4.889317123065567e-05,2.5672794509625344e-05,4.889317123065567e-05,7.463180114729229e-05,4.895900663766695e-05,7.463180114729229e-05
2019-01-18,0.0,4.840423951834912e-05,2.5416066564529088e-05,4.840423951834912e-05,7.379768520740258e-05,4.838161864287349e-05,7.379768520740258e-05
2019-01-19,0.0,4.7920197123165625e-05,2.51619058988838e-05,4.7920197123165625e-05,7.313707612228607e-05,4.7975170223402276e-05,7.313707612228607e-05
2019-01-20,0.0,4.744099515193397e-05,2.4910286839894956e-05,4.744099515193397e-05,7.233752867999645e-05,4.74272418401015e-05,7.233752867999645e-05
2019-01-21,0.0,4.6966585200414634e-05,2.4661183971496006e-05,4.6966585200414634e-05,7.167423086504379e-05,4.701304689354778e-05,7.167423086504379e-05
2019-01-22,0.0,4.649691934841048e-05,2.4414572131781052e-05,4.649691934841048e-05,7.090454812915214e-05,4.6489975997371086e-05,7.090454812915214e-05
2019-01-23,0.0,4.603195015492637e-05,2.417042641046324e-05,4.603195015492637e-05,7.024215389250029e-05,4.607172748203705e-05,7.024215389250029e-05
2019-01-24,0.0,4.557163065337711e-05,2.3928722146358606e-05,4.557163065337711e-05,6.949862315329408e-05,4.5569901006935474e-05,6.949862315329408e-05
2019-01-25,0.0,4.511591434684334e-05,2.3689434924895025e-05,4.511591434684334e-05,6.883986245788162e-05,4.5150427532986606e-05,6.883986245788162e-05
