Timeseries,WaterLevel,Capacity,Precipitation,Culvert,Overflow,Interval,Outflow,Discharge,Evapotranspiration,Temperature
2019-01-01,120.71,9.85,0,0.21,0.0,0.0,0.21,0.0,3.7,24.816666666666663
2019-01-02,120.7,9.83,0,0.21,0.0,86400.0,0.21,0.0,2.3,22.92083333333333
2019-01-03,120.69,9.81,0,0.21,0.0,86400.0,0.21,0.0,1.5,24.512500000000003
2019-01-04,120.68,9.79,0,0.21,0.0,86400.0,0.21,0.0,3.7,26.625
2019-01-05,120.67,9.76,0,0.42,0.0,86400.0,0.42,0.0727777777777851,3.8,25.933333333333334
2019-01-06,120.65,9.72,0,0.42,0.0,86400.0,0.42,0.0,2.9,26.25416666666668
2019-01-07,120.63,9.68,0,0.42,0.0,86400.0,0.42,0.0,3.7,26.120833333333337
2019-01-08,120.61,9.63,0,0.53,0.0,86400.0,0.53,0.0,2.5,25.23333333333333
2019-01-09,120.59,9.59,0,0.63,0.0,86400.0,0.63,0.1670370370370263,3.3,25.929166666666664
2019-01-10,120.56,9.52,0,0.63,0.0,86400.0,0.63,0.0,3.1,26.01666666666667
2019-01-11,120.53,9.45,0,0.63,0.0,86400.0,0.63,0.0,2.7,26.241666666666664
2019-01-12,120.5,9.38,0,0.37,0.0,86400.0,0.37,0.0,2.4,26.39583333333333
2019-01-13,120.48,9.33,0,0.37,0.0,86400.0,0.37,0.0,2.7,26.03333333333333
2019-01-14,120.46,9.29,0,0.36,0.0,86400.0,0.36,0.0,3.1,25.67916666666667
2019-01-15,120.44,9.24,0,0.36,0.0,86400.0,0.36,0.0,2.0,25.5875
2019-01-16,120.42,9.2,0,0.36,0.0,86400.0,0.36,0.0,2.3,26.679166666666664
2019-01-17,120.4,9.15,0,0.36,0.0,86400.0,0.36,0.0,2.2,25.383333333333336
2019-01-18,120.38,9.11,0,0.36,0.0,86400.0,0.36,0.0,2.7,25.05
2019-01-19,120.36,9.06,0,0.36,0.0,86400.0,0.36,0.0,3.5,25.870833333333334
2019-01-20,120.34,9.02,0,0.36,0.0,86400.0,0.36,0.0,2.8,26.10833333333333
2019-01-21,120.32,8.97,0,0.36,0.0,86400.0,0.36,0.0,3.6,26.17916666666667
2019-01-22,120.3,8.93,0,0.36,0.0,86400.0,0.36,0.0,3.5,25.17916666666666
2019-01-23,120.28,8.88,0,0.36,0.0,86400.0,0.36,0.0,4.6,23.66666666666667
2019-01-24,120.26,8.84,0,0.36,0.0,86400.0,0.36,0.0,4.0,22.7375
2019-01-25,120.24,8.79,0,0.36,0.0,86400.0,0.36,0.0,3.4,22.933333333333337
2019-01-26,120.22,8.75,0,0.36,0.0,86400.0,0.36,0.0,3.8,24.16666666666667
2019-01-27,120.2,8.7,0,0.36,0.0,86400.0,0.36,0.0,4.6,24.837499999999995
2019-01-28,120.18,8.66,0,0.36,0.0,86400.0,0.36,0.0,3.7,24.96666666666665
2019-01-29,120.16,8.61,0,0.36,0.0,86400.0,0.36,0.0,3.7,25.85833333333333
2019-01-30,120.14,8.57,0,0.36,0.0,86400.0,0.36,0.0,3.8,26.375
2019-01-31,120.12,8.52,0,0.51,0.0,86400.0,0.51,0.0,3.3,25.191666666666663
2019-02-01,120.09,8.46,0,0.51,0.0,86400.0,0.51,0.0,3.5,26.016666666666666
2019-02-02,120.03,8.32,0,0.5,0.0,86400.0,0.5,0.0,2.8,26.4
2019-02-03,120.03,8.32,0,0.5,0.0,86400.0,0.5,0.5,3.4,26.78333333333333
2019-02-04,119.9,8.07,0,0.5,0.0,86400.0,0.5,0.0,3.5,26.6875
2019-02-05,119.79,7.88,0,0.49,0.0,86400.0,0.49,0.0,3.2,26.65416666666667
2019-02-06,119.76,7.83,0,0.49,0.0,86400.0,0.49,0.0,4.2,26.3375
2019-02-07,119.73,7.77,0,0.49,0.0,86400.0,0.49,0.0,3.3,26.5875
2019-02-08,119.7,7.72,0,0.49,0.0,86400.0,0.49,0.0,3.6,26.59166666666667
2019-02-09,119.66,7.65,0,0.39,0.0,86400.0,0.39,0.0,3.1,26.187500000000004
2019-02-10,119.63,7.6,0,0.39,0.0,86400.0,0.39,0.0,3.8,25.22916666666666
2019-02-11,119.6,7.55,0,0.39,0.0,86400.0,0.39,0.0,4.8,25.80416666666667
2019-02-12,119.57,7.5,0,0.39,0.0,86400.0,0.39,0.0,4.0,27.23333333333333
2019-02-13,119.54,7.45,0,0.39,0.0,86400.0,0.39,0.0,4.5,25.75
2019-02-14,119.51,7.4,0,0.38,0.0,86400.0,0.38,0.0,3.8,26.350000000000005
2019-02-15,119.48,7.34,0,0.38,0.0,86400.0,0.38,0.0,5.0,26.28333333333333
2019-02-16,119.43,7.25,0,0.38,0.0,86400.0,0.38,0.0,5.2,26.320833333333336
2019-02-17,119.39,7.18,0,0.38,0.0,86400.0,0.38,0.0,4.2,26.23333333333333
2019-02-18,119.35,7.12,0,0.38,0.0,86400.0,0.38,0.0,4.2,26.679166666666664
2019-02-19,119.3,7.03,0,0.57,0.0,86400.0,0.57,0.0,4.4,27.2375
2019-02-20,119.25,6.94,0,0.56,0.0,86400.0,0.56,0.0,4.1,27.29166666666666
2019-02-21,119.2,6.85,0,0.56,0.0,86400.0,0.56,0.0,4.0,27.587499999999995
2019-02-22,119.15,6.77,0,0.56,0.0,86400.0,0.56,0.0,4.0,26.899999999999995
2019-02-23,119.1,6.68,0,0.55,0.0,86400.0,0.55,0.0,4.0,25.979166666666668
2019-02-24,119.05,6.59,0,0.55,0.0,86400.0,0.55,0.0,3.7,26.387500000000003
2019-02-25,119.0,6.5,0,0.46,0.0,86400.0,0.46,0.0,4.7,26.508333333333336
2019-02-26,118.95,6.43,0,0.46,0.0,86400.0,0.46,0.0,4.3,26.133333333333336
2019-02-27,118.9,6.35,0,0.36,0.0,86400.0,0.36,0.0,4.7,26.012500000000003
2019-02-28,118.85,6.28,0,0.54,0.0,86400.0,0.54,0.0,4.6,26.120833333333326
2019-03-01,118.8,6.2,0,0.54,0.0,86400.0,0.54,0.0,4.0,25.875
2019-03-02,118.75,6.13,0,0.53,0.0,86400.0,0.53,0.0,4.4,25.625
2019-03-03,118.7,6.05,0,0.53,0.0,86400.0,0.53,0.0,4.4,25.5
2019-03-04,118.65,5.98,0,0.53,0.0,86400.0,0.53,0.0,4.0,25.97916666666666
2019-03-05,118.6,5.9,0,0.53,0.0,86400.0,0.53,0.0,5.4,26.570833333333336
2019-03-06,118.55,5.83,0,0.52,0.0,86400.0,0.52,0.0,4.6,26.587499999999995
2019-03-07,118.5,5.75,0,0.52,0.0,86400.0,0.52,0.0,4.1,27.125
2019-03-08,118.45,5.68,0,0.52,0.0,86400.0,0.52,0.0,3.9,27.787499999999994
2019-03-09,118.4,5.6,0,0.51,0.0,86400.0,0.51,0.0,4.6,28.254166666666663
2019-03-10,118.35,5.53,0,0.51,0.0,86400.0,0.51,0.0,4.3,28.279166666666665
2019-03-11,118.3,5.45,0,0.51,0.0,86400.0,0.51,0.0,3.4,27.475000000000005
2019-03-12,118.25,5.38,0,0.51,0.0,86400.0,0.51,0.0,2.8,27.275
2019-03-13,118.2,5.3,0,0.5,0.0,86400.0,0.5,0.0,2.9,28.066666666666663
2019-03-14,118.15,5.23,0,0.5,0.0,86400.0,0.5,0.0,3.9,28.11666666666667
2019-03-15,118.1,5.15,0,0.5,0.0,86400.0,0.5,0.0,4.2,27.98333333333333
2019-03-16,118.05,5.08,0,0.49,0.0,86400.0,0.49,0.0,3.8,27.616666666666664
2019-03-17,118.0,5.0,0,0.49,0.0,86400.0,0.49,0.0,3.7,28.42083333333333
2019-03-18,117.95,4.94,0,0.49,0.0,86400.0,0.49,0.0,5.3,28.441666666666663
2019-03-19,117.9,4.88,0,0.48,0.0,86400.0,0.48,0.0,5.0,27.883333333333336
2019-03-20,117.85,4.82,0,0.48,0.0,86400.0,0.48,0.0,4.7,28.079166666666666
2019-03-21,117.8,4.75,0,0.48,0.0,86400.0,0.48,0.0,4.1,26.89583333333333
2019-03-22,117.75,4.69,0,0.32,0.0,86400.0,0.32,0.0,2.3,27.087499999999995
2019-03-23,117.7,4.63,0,0.47,0.0,86400.0,0.47,0.0,2.6,26.441666666666663
2019-03-24,117.65,4.57,0,0.47,0.0,86400.0,0.47,0.0,2.6,26.4375
2019-03-25,117.6,4.5,0,0.46,0.0,86400.0,0.46,0.0,3.4,28.425
2019-03-26,117.55,4.44,0,0.46,0.0,86400.0,0.46,0.0,4.8,28.933333333333334
2019-03-27,117.5,4.38,0,0.46,0.0,86400.0,0.46,0.0,4.9,28.262500000000003
2019-03-28,117.4,4.26,0,0.45,0.0,86400.0,0.45,0.0,4.4,28.345833333333328
2019-03-29,117.35,4.2,0,0.45,0.0,86400.0,0.45,0.0,3.5,28.254166666666663
2019-03-30,117.3,4.13,0,0.44,0.0,86400.0,0.44,0.0,3.6,27.866666666666664
2019-03-31,117.25,4.07,0,0.44,0.0,86400.0,0.44,0.0,2.8,27.525
2019-04-01,117.2,4.01,10,0.29,0.0,86400.0,0.29,0.0,4.1,28.199999999999992
2019-04-02,117.15,3.95,0,0.29,0.0,86400.0,0.29,0.0,5.4,28.433333333333326
2019-04-03,117.15,3.95,0,0.29,0.0,86400.0,0.29,0.29,3.2,26.95833333333333
2019-04-04,117.1,3.88,0,0.29,0.0,86400.0,0.29,0.0,1.7,26.32083333333333
2019-04-05,117.05,3.82,0,0.29,0.0,86400.0,0.29,0.0,2.1,27.1
2019-04-06,117.0,3.76,0,0.28,0.0,86400.0,0.28,0.0,3.7,28.28333333333333
2019-04-07,116.95,3.71,0,0.28,0.0,86400.0,0.28,0.0,4.1,28.825
2019-04-08,116.9,3.66,0,0.28,0.0,86400.0,0.28,0.0,3.3,28.71666666666665
2019-04-09,116.85,3.61,0,0.28,0.0,86400.0,0.28,0.0,2.7,27.82916666666667
2019-04-10,116.8,3.56,0,0.27,0.0,86400.0,0.27,0.0,3.0,28.25
2019-04-11,116.75,3.51,0,0.34,0.0,86400.0,0.34,0.0,2.5,27.758333333333336
2019-04-12,116.7,3.46,17,0.33,0.0,86400.0,0.33,0.0,2.6,27.92083333333333
2019-04-13,116.65,3.41,0,0.33,0.0,86400.0,0.33,0.0,4.3,29.49166666666667
2019-04-14,116.6,3.36,0,0.33,0.0,86400.0,0.33,0.0,4.1,29.725
2019-04-15,116.55,3.31,0,0.33,0.0,86400.0,0.33,0.0,3.0,27.691666666666663
2019-04-16,116.5,3.26,0,0.32,0.0,86400.0,0.32,0.0,2.7,28.28333333333333
2019-04-17,116.45,3.21,0,0.26,0.0,86400.0,0.26,0.0,2.3,27.450000000000003
2019-04-18,116.45,3.21,0,0.26,0.0,86400.0,0.26,0.0,2.3,27.450000000000003
2019-04-19,116.35,3.11,0,0.25,0.0,86400.0,0.25,0.0,2.9,29.5125
2019-04-20,116.3,3.06,0,0.25,0.0,86400.0,0.25,0.0,2.8,28.85416666666666
2019-04-21,116.25,3.01,0,0.24,0.0,86400.0,0.24,0.0,3.9,29.57083333333333
2019-04-22,116.2,2.96,0,0.24,0.0,86400.0,0.24,0.0,4.9,29.8125
2019-04-23,116.15,2.91,0,0.24,0.0,86400.0,0.24,0.0,4.3,30.0625
2019-04-24,116.1,2.86,0,0.24,0.0,86400.0,0.24,0.0,4.2,30.04166666666667
2019-04-25,116.08,2.83,0,0.12,0.0,86400.0,0.12,0.0,4.0,29.570833333333336
2019-04-26,116.06,2.8,0,0.12,0.0,86400.0,0.12,0.0,4.5,29.39583333333333
2019-04-27,116.04,2.76,0,0.12,0.0,86400.0,0.12,0.0,4.0,29.366666666666664
2019-04-28,116.02,2.73,0,0.29,0.0,86400.0,0.29,0.0,1.6,26.199999999999992
2019-04-29,115.98,2.7,0,0.28,0.0,86400.0,0.28,0.0,3.0,28.774999999999995
2019-04-30,115.96,2.69,0,0.14,0.0,86400.0,0.14,0.0242592592592566,3.6,29.90416666666667
2019-05-01,115.94,2.69,0,0.23,0.0,86400.0,0.23,0.23,3.6,29.8875
2019-05-02,115.92,2.68,0,0.14,0.0,86400.0,0.14,0.0242592592592617,3.1,28.42916666666666
2019-05-03,115.9,2.68,0,0.14,0.0,86400.0,0.14,0.14,2.7,27.48333333333333
2019-05-04,115.89,2.67,22,0.08,0.0,86400.0,0.08,0.0,1.7,27.04166666666666
2019-05-05,115.88,2.67,0,0.08,0.0,86400.0,0.08,0.08,1.9,28.629166666666663
2019-05-06,115.87,2.66,0,0.08,0.0,86400.0,0.08,0.0,3.6,29.42916666666667
